Código CCN,Código CNH,Nombre,Comunidad Autónoma,Provincia,Municipio,Dirección,Código Postal,Teléfono,Número de camas instaladas,Tipo de Centro,Dependencia Funcional,Observaciones,Concierto,Acreditación Docente
0908005155,080060,Hospital de L'Esperança.,Cataluña,Barcelona,Barcelona,Avenida Sant Josep de La Muntanya 12,08024,933674100,161,Hospitales Generales,Otras Entidades u o rganismos Públicos,,Red de utilización pública (RUP),SI
0908005157,080641,Clínica Planas,Cataluña,Barcelona,Barcelona,Calle Pere Ir de Montcada 16,08034,932032812,26,Hospitales especializados,Privados,,Sin concierto,NO
0908005159,080116,"Fremap, Hospital de Barcelona",Cataluña,Barcelona,Barcelona,Calle Madrazo 8,08006,934169100,62,Hospitales Generales,Mútuas Colaboradoras con La Seguridad Social,,Sin concierto,NO
0908005160,080137,Centre de Prevencio I Rehabilitacio Asepeyo,Cataluña,Barcelona,Sant Cugat del Vallès,Avenida Alcalde Barnils 54-60,08174,935653900,138,Hospitales Generales,Mútuas Colaboradoras con La Seguridad Social,,Sin concierto,SI
0908005161,080142,Clínica Mc Copernic,Cataluña,Barcelona,Barcelona,Calle Copernic 58,08006,934141992,60,Hospitales Generales,Mútuas Colaboradoras con La Seguridad Social,,Sin concierto,NO
0908005162,080348,Fundacio Puigvert - Iuna,Cataluña,Barcelona,Barcelona,Calle Cartagena 340,08025,934169700,124,Hospitales especializados,Privados,,Red de utilización pública (RUP),SI
0908005164,080312,Nou Hospital Evangelic,Cataluña,Barcelona,Barcelona,Calle Ciutat de Granada 108,08018,932859955,203,Hospitales de media y larga estancia,Privados,,Red de utilización pública (RUP),SI
0908005165,080229,Clínica Nostra Senyora del Remei,Cataluña,Barcelona,Barcelona,Calle Escorial 148,08024,932850010,134,Hospitales Generales,Privados,,Sin concierto,NO
0908005166,080168,Hospital Egarsat Sant Honorat,Cataluña,Barcelona,Barcelona,Avenida Tibidabo 20,08022,932127000,14,Hospitales Generales,Mútuas Colaboradoras con La Seguridad Social,,Sin concierto,NO
0908005167,080235,Clínica Sagrada Familia,Cataluña,Barcelona,Barcelona,Calle Torras I Pujalt 1,08022,932122300,150,Hospitales Generales,Privados,,Sin concierto,NO
0908005168,080214,Hospital Sant Rafael,Cataluña,Barcelona,Barcelona,Paseo Vall D'Hebron 107,08035,932112508,213,Hospitales Generales,Otras Entidades u o rganismos Públicos,,Red de utilización pública (RUP),NO
0908005169,080044,"Hospital Clinic de Barcelona, Seu Sabino de Arana",Cataluña,Barcelona,Barcelona,Calle Sabino de Arana 1,08028,932275600,130,Hospitales especializados,Otras Entidades u o rganismos Públicos,,Red de utilización pública (RUP),SI
0908005171,080478,"Centro Medico Teknon, Grupo Quironsalud",Cataluña,Barcelona,Barcelona,Calle Vilana 12,08022,932906242,285,Hospitales Generales,Privados,,Sin concierto,NO
0908005172,080538,Centre D'Oftalmologia Barraquer,Cataluña,Barcelona,Barcelona,Calle Muntaner 314,08021,936025342,70,Hospitales especializados,Privados,,Sin concierto,SI
0908005173,080333,Institut Guttmann,Cataluña,Barcelona,Badalona,Camino Can Ruti S/N,08916,934977700,152,Hospitales especializados,Privados,,Red de utilización pública (RUP),SI
0908005174,080253,Hospital Mare de Déu de La Mercé?,Cataluña,Barcelona,Barcelona,Paseo Universal 34,08042,934275250,113,Hospitales de salud mental y tratamiento de toxicomanías,Privados,,Red de utilización pública (RUP),NO
0908005175,080692,Hospital de Berga,Cataluña,Barcelona,Berga,Carretera De Ribes 47,08600,938243400,150,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Red de utilización pública (RUP),NO
0908005176,080706,Hospital Comarcal Sant Jaume de Calella,Cataluña,Barcelona,Calella,Calle Sant Jaume 209-217,03500,937690201,233,Hospitales Generales,Privados,,Red de utilización pública (RUP),SI
0908005177,080713,Hospital de Sant Joan de Deu.,Cataluña,Barcelona,Esplugues de Llobregat,Calle Sant Joan de Deu 2,08950,932804000,438,Hospitales especializados,Privados,,Red de utilización pública (RUP),SI
0908005178,080728,Clínica Nostra Senyora de Guadalupe,Cataluña,Barcelona,Esplugues de Llobregat,Calle Francesc Moragas 2,08950,934702970,159,Hospitales de media y larga estancia,Privados,,Red de utilización pública (RUP),NO
0908005179,080734,Hospital General de Granollers.,Cataluña,Barcelona,Granollers,Avenida Francesc Ribas 1,08402,938425000,316,Hospitales Generales,Privados,,Red de utilización pública (RUP),SI
0908005180,080771,Hospital General de L'Hospitalet,Cataluña,Barcelona,"Hospitalet de Llobregat, L'",Avenida Josep Molins 29,08906,934407500,102,Hospitales Generales,Otras Entidades u o rganismos Públicos,,Red de utilización pública (RUP),SI
0908005181,080752,Hospital Universitari de Bellvitge,Cataluña,Barcelona,"Hospitalet de Llobregat, L'",Calle Feixa Llarga S/N,08907,932607510,1086,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Red de utilización pública (RUP),SI
0908005182,080787,Fundacio Sanitaria Sant Josep,Cataluña,Barcelona,Igualada,Calle Carme Verdaguer 56,08700,938032650,145,Hospitales de media y larga estancia,Privados,,Red de utilización pública (RUP),NO
0908005183,080826,Hospital de Sant Jaume,Cataluña,Barcelona,Manlleu,Carretera D'Olot 7,08560,938506565,90,Hospitales de media y larga estancia,Otras Entidades u o rganismos Públicos,,Red de utilización pública (RUP),NO
